"","Report_Year","NeighbourhoodName","Premises_Type"
"497",2014,"Dufferin Grove","House"
"498",2014,"Kensington-Chinatown","Outside"
"499",2014,"The Beaches","Outside"
"500",2014,"West Humber-Clairville","Educational"
"501",2014,"Highland Creek","Educational"
"502",2014,"North Riverdale","House"
"503",2014,"North Riverdale","Outside"
"504",2014,"Taylor-Massey","House"
"505",2014,"Annex","Transit"
"506",2014,"Waterfront Communities-The Island","Outside"
"507",2014,"Mount Pleasant West","Apartment"
"508",2014,"Bay Street Corridor","Outside"
"509",2014,"Niagara","Apartment"
"510",2014,"Bay Street Corridor","Other"
"511",2014,"Dovercourt-Wallace Emerson-Junction","Apartment"
"512",2014,"Downsview-Roding-CFB","House"
"513",2014,"South Parkdale","Apartment"
"514",2014,"Bay Street Corridor","Outside"
"515",2014,"Waterfront Communities-The Island","Other"
"516",2014,"Church-Yonge Corridor","Outside"
"517",2014,"Waterfront Communities-The Island","Commercial"
"518",2014,"Bay Street Corridor","Outside"
"519",2014,"Bay Street Corridor","Commercial"
"520",2014,"Markland Wood","House"
"521",2014,"Westminster-Branson","Educational"
"522",2014,"University","Educational"
"523",2014,"University","Educational"
"524",2014,"Niagara","Apartment"
"525",2014,"Trinity-Bellwoods","Outside"
"526",2014,"Roncesvalles","Apartment"
"527",2014,"Waterfront Communities-The Island","Commercial"
"528",2014,"Mount Pleasant West","Apartment"
"529",2014,"Highland Creek","Educational"
"530",2014,"Annex","Outside"
"531",2014,"Clairlea-Birchmount","House"
"532",2014,"Niagara","Other"
"533",2014,"Wexford/Maryvale","Outside"
"534",2014,"Junction Area","Other"
"535",2014,"Bay Street Corridor","Outside"
"536",2014,"Niagara","Outside"
"537",2014,"Blake-Jones","Apartment"
"538",2014,"Etobicoke West Mall","House"
"539",2014,"Annex","Outside"
"540",2014,"University","Educational"
"541",2014,"Mimico","Apartment"
"542",2014,"Markland Wood","Other"
"543",2014,"High Park North","Commercial"
"544",2014,"Palmerston-Little Italy","House"
"545",2014,"Regent Park","Commercial"
"546",2014,"Casa Loma","House"
"547",2014,"Rosedale-Moore Park","House"
"548",2014,"Annex","Outside"
"549",2014,"Yonge-Eglinton","Outside"
"550",2014,"Etobicoke West Mall","House"
"551",2014,"West Hill","Apartment"
"552",2014,"Oakridge","Other"
"553",2014,"Bridle Path-Sunnybrook-York Mills","Other"
"554",2014,"Oakwood Village","Educational"
"555",2014,"Junction Area","House"
"556",2014,"Rosedale-Moore Park","House"
"557",2014,"Church-Yonge Corridor","Outside"
"558",2014,"Niagara","Outside"
"559",2014,"Church-Yonge Corridor","Educational"
"560",2014,"Bay Street Corridor","Outside"
"561",2014,"Runnymede-Bloor West Village","Other"
"562",2014,"Little Portugal","Outside"
"563",2014,"South Parkdale","Apartment"
"564",2014,"Moss Park","Educational"
"565",2014,"Palmerston-Little Italy","Outside"
"566",2014,"Waterfront Communities-The Island","Apartment"
"567",2014,"Danforth","Transit"
"568",2014,"Pelmo Park-Humberlea","Other"
"569",2014,"Greenwood-Coxwell","House"
"570",2014,"Bay Street Corridor","Outside"
"571",2014,"Annex","Outside"
"572",2014,"Waterfront Communities-The Island","Outside"
"573",2014,"Runnymede-Bloor West Village","Other"
"574",2014,"Runnymede-Bloor West Village","Other"
"575",2014,"Edenbridge-Humber Valley","House"
"576",2014,"Cabbagetown-South St.James Town","Outside"
"577",2014,"Annex","Outside"
"578",2014,"Roncesvalles","Apartment"
"579",2014,"Palmerston-Little Italy","House"
"580",2014,"Bendale","Outside"
"581",2014,"North Riverdale","House"
"582",2014,"University","Educational"
"583",2014,"Clairlea-Birchmount","House"
"584",2014,"Playter Estates-Danforth","Outside"
"585",2014,"Markland Wood","House"
"586",2014,"Bay Street Corridor","Outside"
"587",2014,"Runnymede-Bloor West Village","Other"
"588",2014,"Runnymede-Bloor West Village","House"
"589",2014,"Niagara","Outside"
"590",2014,"Runnymede-Bloor West Village","Other"
"591",2014,"Waterfront Communities-The Island","Outside"
"592",2014,"Kensington-Chinatown","Outside"
"593",2014,"Glenfield-Jane Heights","Outside"
